MT_F_0_30;MT_F_100_30;MT_F_0_1h;MT_F_100_1h;MT_F_0_2h;MT_F_100_2h;MT_F_0_3h;MT_F_100_3h;yg2_F_0_30;yg2_F_100_30;yg2_F_0_1h;yg2_F_100_1h;yg2_F_0_2h;yg2_F_100_2h;yg2_F_0_3h;yg2_F_100_3h
0.0287055232728768;0.036548476285966;0.0361651443091596;0.0579032365699033;0.129595102871392;0.0246343629532035;0.115906602254428;0.358395035343101;1.366;1.963;1.653;1.408;1.563;3.364;1.065;3.392
0.0575366606562446;0.0537740260334455;0.0407195102444415;0.0553347445011361;0.096602093075039;0.0883714410282732;0.305534175127756;0.0710182767624021;2.054;1.16;0.817;1.999;3.831;4.994;3.702;1.902
0.0492744388848285;0.0701973603534477;0.0425213351257198;0.0649478158310524;0.0788731184527524;0.0;0.146508387475682;0.0886884542005853;1.658;1.359;1.773;2.627;5.027;3.177;3.273;1.251
