A;B;G1
yg2_F_100_2h;3.85;A
yg2_F_0_2h;3.47;A
yg2_F_0_3h;2.68;A
yg2_F_100_3h;2.18;B
yg2_F_100_1h;2.01;B
yg2_F_0_30;1.69;B
yg2_F_100_30;1.49;B
yg2_F_0_1h;1.41;B
MT_F_0_3h;0.19;C
MT_F_100_3h;0.17;C
MT_F_0_2h;0.10;C
MT_F_100_1h;0.06;C
MT_F_100_30;0.05;C
MT_F_0_30;0.05;C
MT_F_0_1h;0.04;C
MT_F_100_2h;0.04;C
