A;B;G1
yg2_R_100_1h;0.51;A
yg2_R_0_1h;0.41;A
yg2_R_0_2h;0.40;A
yg2_R_0_3h;0.27;A
yg2_R_100_2h;0.26;A
yg2_R_100_3h;0.19;B
MT_R_100_3h;0.11;B
MT_R_100_2h;0.10;B
yg2_R_0_30;0.09;B
MT_R_100_1h;0.09;B
MT_R_0_3h;0.08;B
yg2_R_100_30;0.07;B
MT_R_0_2h;0.07;B
MT_R_100_30;0.06;B
MT_R_0_1h;0.03;B
MT_R_0_30;0.01;B
