A;B;G1
yg2_F_100_2h;0.50;A
yg2_F_0_2h;0.42;A
yg2_F_0_3h;0.35;A
yg2_F_100_3h;0.29;A
yg2_F_0_30;0.27;A
yg2_F_0_1h;0.21;A
yg2_F_100_30;0.20;A
yg2_F_100_1h;0.17;A
MT_F_100_3h;0.02;B
MT_F_0_1h;0.01;B
MT_F_100_1h;0.01;B
MT_F_0_30;0.01;B
MT_F_0_3h;0.01;B
MT_F_0_2h;0.01;B
MT_F_100_30;0.01;B
MT_F_100_2h;0.01;B
